dataset,sample.id,size,log.log.data
1,McGill0001,32371,2.34036421363324
1,McGill0002,33175,2.34272383263208
1,McGill0004,32791,2.34160476348542
1,McGill0005,32366,2.34034933909825
1,McGill0007,32401,2.34045340798266
1,McGill0008,32758,2.34150792390427
1,McGill0009,32382,2.34039692874613
1,McGill0011,32465,2.34064338704443
1,McGill0024,32432,2.34054548041384
1,McGill0025,32445,2.34058406272415
1,McGill0026,32409,2.34047717785239
1,McGill0027,32504,2.34075895431868
1,McGill0028,32407,2.34047123598805
1,McGill0029,32866,2.34182445671775
1,McGill0079,32429,2.34053657439606
1,McGill0101,34919,2.34763363484149
1,McGill0102,32392,2.34042665918736
1,McGill0104,32604,2.34105458743919
1,McGill0106,32475,2.34067303418208
1,McGill0107,32410,2.34048014863382
1,McGill0322,32379,2.34038800765101
5,McGill0001,152956,2.4797186802928
5,McGill0002,153013,2.47974989020254
5,McGill0004,152970,2.47972634705229
5,McGill0005,152959,2.47972032323386
5,McGill0007,152922,2.47970005785309
5,McGill0008,153127,2.47981227223915
5,McGill0009,152918,2.47969786668283
5,McGill0011,152930,2.47970444000728
5,McGill0024,153074,2.479783276327
5,McGill0025,152961,2.47972141850849
5,McGill0026,153145,2.47982211743325
5,McGill0027,152992,2.4797383932809
5,McGill0028,152964,2.47972306139134
5,McGill0029,153344,2.47993087802503
5,McGill0079,153323,2.479919407998
5,McGill0101,154356,2.4804816155714
5,McGill0102,152941,2.47971046506366
5,McGill0104,153016,2.47975153248032
5,McGill0106,152938,2.47970882191304
5,McGill0107,152955,2.47971813263802
5,McGill0322,153026,2.47975700648757
6,McGill0001,57501,2.39421191737848
6,McGill0002,57768,2.39463453218736
6,McGill0004,57525,2.39424999273108
6,McGill0005,57495,2.3942023958306
6,McGill0007,57525,2.39424999273108
6,McGill0008,57488,2.39419128598754
6,McGill0009,57486,2.39418811147552
6,McGill0011,57516,2.39423571650563
6,McGill0024,57503,2.39421509098684
6,McGill0025,57495,2.3942023958306
6,McGill0026,57554,2.39429597732734
6,McGill0027,57583,2.39434193664608
6,McGill0028,57520,2.39424206179565
6,McGill0029,58616,2.39596276815352
