dataset,sample.id,size,expr,time
1,McGill0001,4933,FLOPART,34779029
1,McGill0001,4933,LOPART,69841122
1,McGill0001,4933,FLOPART,35150325
1,McGill0001,4933,FLOPARTNoLabel,38753036
1,McGill0001,4933,FPOP,190581284
1,McGill0001,4933,LOPART,67335243
1,McGill0001,4933,binsegRcpp,6090222
1,McGill0001,4933,binsegRcpp,1522207
1,McGill0001,4933,FLOPART,36505703
1,McGill0001,4933,binsegRcpp,1629586
1,McGill0001,4933,FLOPARTNoLabel,37489580
1,McGill0001,4933,LOPART,66636849
1,McGill0001,4933,FPOP,29217174
1,McGill0001,4933,FLOPARTNoLabel,37998923
1,McGill0001,4933,FPOP,28747642
1,McGill0002,3642,FLOPARTNoLabel,26319909
1,McGill0002,3642,binsegRcpp,1362799
1,McGill0002,3642,FLOPART,23642158
1,McGill0002,3642,FLOPART,24181431
1,McGill0002,3642,binsegRcpp,1407940
1,McGill0002,3642,FPOP,19252944
1,McGill0002,3642,FLOPART,24420707
1,McGill0002,3642,FLOPARTNoLabel,28037399
1,McGill0002,3642,binsegRcpp,1399166
1,McGill0002,3642,LOPART,37715859
1,McGill0002,3642,LOPART,37904459
1,McGill0002,3642,FPOP,19638508
1,McGill0002,3642,FLOPARTNoLabel,26573740
1,McGill0002,3642,LOPART,38121923
1,McGill0002,3642,FPOP,19602387
1,McGill0004,4490,LOPART,53524557
1,McGill0004,4490,binsegRcpp,1562961
1,McGill0004,4490,FLOPART,29664443
1,McGill0004,4490,LOPART,53597947
1,McGill0004,4490,FPOP,25160921
1,McGill0004,4490,FLOPARTNoLabel,33174658
1,McGill0004,4490,FPOP,24449776
1,McGill0004,4490,FLOPART,30366773
1,McGill0004,4490,binsegRcpp,1544552
1,McGill0004,4490,FLOPARTNoLabel,35337285
1,McGill0004,4490,FLOPART,29708395
1,McGill0004,4490,FPOP,24948541
1,McGill0004,4490,LOPART,53886956
1,McGill0004,4490,FLOPARTNoLabel,33261865
1,McGill0004,4490,binsegRcpp,1587520
1,McGill0005,4774,binsegRcpp,1663821
1,McGill0005,4774,FPOP,27051144
1,McGill0005,4774,binsegRcpp,1552670
1,McGill0005,4774,LOPART,60670324
1,McGill0005,4774,FPOP,26875377
1,McGill0005,4774,FPOP,26968652
1,McGill0005,4774,LOPART,61248875
1,McGill0005,4774,LOPART,60991641
1,McGill0005,4774,FLOPART,32873595
1,McGill0005,4774,FLOPARTNoLabel,35578939
1,McGill0005,4774,FLOPART,33058751
1,McGill0005,4774,FLOPART,34041726
1,McGill0005,4774,FLOPARTNoLabel,35152539
1,McGill0005,4774,binsegRcpp,1593957
1,McGill0005,4774,FLOPARTNoLabel,35255449
1,McGill0007,4089,LOPART,45653172
1,McGill0007,4089,FPOP,23919646
1,McGill0007,4089,FPOP,23466432
1,McGill0007,4089,binsegRcpp,1553080
1,McGill0007,4089,FLOPARTNoLabel,30907112
1,McGill0007,4089,FLOPART,27760977
1,McGill0007,4089,FPOP,23706938
1,McGill0007,4089,FLOPART,28466546
1,McGill0007,4089,FLOPARTNoLabel,31537774
1,McGill0007,4089,binsegRcpp,1559927
1,McGill0007,4089,LOPART,45556945
1,McGill0007,4089,LOPART,47162218
1,McGill0007,4089,FLOPARTNoLabel,31088209
1,McGill0007,4089,FLOPART,27301654
1,McGill0007,4089,binsegRcpp,1512859
1,McGill0008,3933,LOPART,43146350
1,McGill0008,3933,FLOPARTNoLabel,30214745
1,McGill0008,3933,binsegRcpp,1397567
1,McGill0008,3933,FLOPART,27215800
1,McGill0008,3933,FPOP,22333479
1,McGill0008,3933,binsegRcpp,1452753
1,McGill0008,3933,binsegRcpp,1309540
1,McGill0008,3933,FPOP,22221057
1,McGill0008,3933,FLOPARTNoLabel,28919227
1,McGill0008,3933,FLOPART,26396825
1,McGill0008,3933,FLOPARTNoLabel,30580383
1,McGill0008,3933,LOPART,42587069
1,McGill0008,3933,LOPART,42430080
1,McGill0008,3933,FPOP,21754887
1,McGill0008,3933,FLOPART,27199441
1,McGill0009,5757,FPOP,34130450
1,McGill0009,5757,binsegRcpp,1874930
1,McGill0009,5757,FLOPARTNoLabel,44287626
1,McGill0009,5757,binsegRcpp,1902277
1,McGill0009,5757,FPOP,34568986
1,McGill0009,5757,FLOPARTNoLabel,44221329
1,McGill0009,5757,FPOP,34686205
