size,expr,time
1,FLOPART,25592405
1,binsegRcpp,6113346
1,binsegRcpp,6588003
1,FLOPARTNoLabel,24303488
1,FLOPARTNoLabel,24476057
1,FPOP,13608228
1,FPOP,13895597
1,FPOP,13852998
1,binsegRcpp,6867213
1,FLOPART,24904917
1,FLOPART,25209670
1,FLOPARTNoLabel,24661049
3,FLOPART,24691881
3,FPOP,13706505
3,FLOPART,23388901
3,FLOPARTNoLabel,23285212
3,binsegRcpp,5930117
3,binsegRcpp,6460042
3,FPOP,13873498
3,FLOPARTNoLabel,24289384
3,FPOP,13656854
3,binsegRcpp,6560943
3,FLOPARTNoLabel,24251623
3,FLOPART,24227310
5,FLOPARTNoLabel,25465182
5,FLOPART,23678607
5,binsegRcpp,6074150
5,FPOP,13638568
5,FLOPART,23904845
5,FLOPARTNoLabel,24914675
5,FLOPART,25052066
5,FPOP,13715853
5,binsegRcpp,6755734
5,binsegRcpp,6245325
5,FLOPARTNoLabel,26522285
5,FPOP,14015563
11,FPOP,14560535
11,FLOPARTNoLabel,25343207
11,binsegRcpp,6024171
11,FLOPART,23811406
11,FLOPART,24045229
11,FPOP,13737296
11,FLOPART,24430793
11,FPOP,13759846
11,binsegRcpp,6726870
11,FLOPARTNoLabel,24765599
11,binsegRcpp,6405225
11,FLOPARTNoLabel,24670192
23,FLOPART,24724845
23,FLOPARTNoLabel,23373772
23,FLOPART,23549867
23,FPOP,13687604
23,FPOP,13490558
23,binsegRcpp,6039136
23,FLOPART,24023458
23,FLOPARTNoLabel,23771185
23,FPOP,13537093
23,binsegRcpp,6470333
23,binsegRcpp,6082596
23,FLOPARTNoLabel,23814112
50,FLOPART,24479624
50,FLOPARTNoLabel,23358110
50,FPOP,13434060
50,FLOPARTNoLabel,23506325
50,binsegRcpp,6027369
50,binsegRcpp,6292803
50,FLOPARTNoLabel,24148959
50,binsegRcpp,6238232
50,FLOPART,24101440
50,FLOPART,24075733
50,FPOP,13655460
50,FPOP,13753040
107,FLOPARTNoLabel,24706641
107,binsegRcpp,5918268
107,FPOP,13479898
107,FLOPARTNoLabel,23232568
107,binsegRcpp,5880917
107,FLOPART,22453527
107,FPOP,13542259
107,FLOPARTNoLabel,23333018
107,FPOP,13541398
107,FLOPART,22995014
107,binsegRcpp,6322364
107,FLOPART,23021582
233,FLOPART,23334166
233,binsegRcpp,5832455
233,FLOPART,22254185
233,FPOP,13464605
233,FPOP,13460792
233,FLOPARTNoLabel,23504767
233,FLOPARTNoLabel,24189139
233,FPOP,13840534
233,FLOPART,23958104
233,FLOPARTNoLabel,25057847
233,binsegRcpp,6533842
233,binsegRcpp,6019415
508,FLOPART,22832654
508,FPOP,13683053
508,binsegRcpp,5733235
508,FPOP,13656977
508,FPOP,13691745
508,FLOPARTNoLabel,23472705
508,FLOPART,20553013
508,FLOPARTNoLabel,23597632
508,FLOPART,20741859
508,binsegRcpp,5795760
508,FLOPARTNoLabel,23939613
508,binsegRcpp,6323881
1105,FLOPART,19298987
1105,FPOP,13724176
1105,binsegRcpp,5148206
1105,FPOP,13587113
1105,FLOPART,17623030
1105,FPOP,13743282
1105,FLOPARTNoLabel,23990904
1105,binsegRcpp,5214339
1105,binsegRcpp,5116923
1105,FLOPART,18635361
1105,FLOPARTNoLabel,24608077
1105,FLOPARTNoLabel,24408325
