data.over.labels,size,expr,time,n.data,n.labels,label.density
10,1,FLOPART,3096525,60,6,0.1
10,1,FPOP,384211,60,6,0.1
10,1,FLOPART,2990171,60,6,0.1
10,1,binsegRcpp,9974029,60,6,0.1
10,1,FPOP,441693,60,6,0.1
10,1,binsegRcpp,10368900,60,6,0.1
10,1,FLOPARTNoLabel,3112843,60,6,0.1
10,1,FPOP,423817,60,6,0.1
10,1,FLOPARTNoLabel,3163027,60,6,0.1
10,1,FLOPARTNoLabel,2817930,60,6,0.1
10,1,FLOPART,3065857,60,6,0.1
10,1,binsegRcpp,10329089,60,6,0.1
1000,1,binsegRcpp,9564603,60,0.06,0.001
1000,1,binsegRcpp,9458331,60,0.06,0.001
1000,1,FLOPARTNoLabel,2956510,60,0.06,0.001
1000,1,FLOPART,2665779,60,0.06,0.001
1000,1,FPOP,391099,60,0.06,0.001
1000,1,FLOPART,2827032,60,0.06,0.001
1000,1,FLOPARTNoLabel,2809525,60,0.06,0.001
1000,1,FPOP,414551,60,0.06,0.001
1000,1,FLOPART,2701121,60,0.06,0.001
1000,1,binsegRcpp,9592852,60,0.06,0.001
1000,1,FPOP,419881,60,0.06,0.001
1000,1,FLOPARTNoLabel,3157943,60,0.06,0.001
10,3,binsegRcpp,9449147,140,14,0.1
10,3,FLOPART,3176147,140,14,0.1
10,3,FLOPARTNoLabel,2737652,140,14,0.1
10,3,FPOP,412091,140,14,0.1
10,3,binsegRcpp,9302982,140,14,0.1
10,3,FLOPART,2732814,140,14,0.1
10,3,FLOPARTNoLabel,2666435,140,14,0.1
10,3,FLOPART,2685910,140,14,0.1
10,3,FPOP,432550,140,14,0.1
10,3,binsegRcpp,9948609,140,14,0.1
10,3,FPOP,402087,140,14,0.1
10,3,FLOPARTNoLabel,2867171,140,14,0.1
1000,3,binsegRcpp,9366819,140,0.14,0.001
1000,3,FPOP,479946,140,0.14,0.001
1000,3,FLOPART,2865613,140,0.14,0.001
1000,3,FLOPARTNoLabel,2702064,140,0.14,0.001
1000,3,binsegRcpp,9197407,140,0.14,0.001
1000,3,FLOPART,2758972,140,0.14,0.001
1000,3,FPOP,406228,140,0.14,0.001
1000,3,binsegRcpp,9197325,140,0.14,0.001
1000,3,FLOPARTNoLabel,2728140,140,0.14,0.001
1000,3,FPOP,384990,140,0.14,0.001
1000,3,FLOPARTNoLabel,2694438,140,0.14,0.001
1000,3,FLOPART,2630929,140,0.14,0.001
10,8,FPOP,612786,380,38,0.1
10,8,binsegRcpp,9322539,380,38,0.1
10,8,FLOPART,3143224,380,38,0.1
10,8,binsegRcpp,9915440,380,38,0.1
10,8,FLOPARTNoLabel,2995583,380,38,0.1
10,8,FPOP,490442,380,38,0.1
10,8,FLOPARTNoLabel,3150358,380,38,0.1
10,8,FLOPART,2758685,380,38,0.1
10,8,FPOP,486793,380,38,0.1
10,8,binsegRcpp,9736065,380,38,0.1
10,8,FLOPARTNoLabel,2990294,380,38,0.1
10,8,FLOPART,2736996,380,38,0.1
1000,8,FPOP,616968,380,0.38,0.001
1000,8,FLOPART,3299147,380,0.38,0.001
1000,8,FLOPART,2838307,380,0.38,0.001
1000,8,FLOPARTNoLabel,2803990,380,0.38,0.001
1000,8,FLOPARTNoLabel,2820349,380,0.38,0.001
1000,8,binsegRcpp,10027616,380,0.38,0.001
1000,8,binsegRcpp,9458700,380,0.38,0.001
1000,8,binsegRcpp,9481209,380,0.38,0.001
1000,8,FPOP,525497,380,0.38,0.001
1000,8,FPOP,432304,380,0.38,0.001
1000,8,FLOPART,3029490,380,0.38,0.001
1000,8,FLOPARTNoLabel,2827729,380,0.38,0.001
10,23,FLOPARTNoLabel,3569501,940,94,0.1
10,23,FPOP,666578,940,94,0.1
10,23,FLOPART,3175122,940,94,0.1
10,23,FPOP,654975,940,94,0.1
10,23,FLOPARTNoLabel,4064453,940,94,0.1
10,23,binsegRcpp,9351280,940,94,0.1
10,23,FLOPART,3064422,940,94,0.1
10,23,FPOP,664897,940,94,0.1
10,23,binsegRcpp,9506547,940,94,0.1
10,23,binsegRcpp,9504456,940,94,0.1
10,23,FLOPARTNoLabel,3510010,940,94,0.1
10,23,FLOPART,2998576,940,94,0.1
1000,23,FLOPART,3596397,940,0.94,0.001
1000,23,binsegRcpp,9195767,940,0.94,0.001
1000,23,FLOPARTNoLabel,3079223,940,0.94,0.001
1000,23,FLOPART,2971762,940,0.94,0.001
1000,23,FLOPARTNoLabel,3036378,940,0.94,0.001
1000,23,FPOP,660264,940,0.94,0.001
1000,23,binsegRcpp,9247591,940,0.94,0.001
1000,23,FPOP,657271,940,0.94,0.001
1000,23,FPOP,599707,940,0.94,0.001
1000,23,binsegRcpp,9575919,940,0.94,0.001
1000,23,FLOPARTNoLabel,3249168,940,0.94,0.001
1000,23,FLOPART,2967006,940,0.94,0.001
10,63,FLOPART,4981336,2750,275,0.1
10,63,binsegRcpp,9211388,2750,275,0.1
10,63,binsegRcpp,9222253,2750,275,0.1
10,63,FLOPART,3630837,2750,275,0.1
10,63,FLOPARTNoLabel,3834484,2750,275,0.1
10,63,FPOP,1160833,2750,275,0.1
10,63,FPOP,1097898,2750,275,0.1
10,63,FLOPART,3579751,2750,275,0.1
10,63,FPOP,1159849,2750,275,0.1
10,63,FLOPARTNoLabel,3886800,2750,275,0.1
10,63,FLOPARTNoLabel,3942519,2750,275,0.1
10,63,binsegRcpp,9828192,2750,275,0.1
1000,63,FLOPARTNoLabel,4267485,2750,2.75,0.001
1000,63,binsegRcpp,9167149,2750,2.75,0.001
1000,63,binsegRcpp,9222745,2750,2.75,0.001
1000,63,FLOPART,3836575,2750,2.75,0.001
1000,63,FLOPART,3801971,2750,2.75,0.001
1000,63,FLOPARTNoLabel,3770975,2750,2.75,0.001
1000,63,FPOP,1157020,2750,2.75,0.001
1000,63,binsegRcpp,9596091,2750,2.75,0.001
1000,63,FLOPARTNoLabel,3879461,2750,2.75,0.001
1000,63,FPOP,1155503,2750,2.75,0.001
1000,63,FLOPART,3749081,2750,2.75,0.001
1000,63,FPOP,1144433,2750,2.75,0.001
10,177,FLOPARTNoLabel,6541181,7870,787,0.1
10,177,FLOPART,5089371,7870,787,0.1
10,177,binsegRcpp,9669153,7870,787,0.1
10,177,FPOP,2569511,7870,787,0.1
10,177,FLOPART,5750701,7870,787,0.1
10,177,binsegRcpp,9294372,7870,787,0.1
10,177,FPOP,2714815,7870,787,0.1
10,177,binsegRcpp,9233077,7870,787,0.1
10,177,FLOPART,5372025,7870,787,0.1
10,177,FLOPARTNoLabel,6214329,7870,787,0.1
10,177,FLOPARTNoLabel,6135814,7870,787,0.1
10,177,FPOP,2563320,7870,787,0.1
1000,177,binsegRcpp,9331969,7870,7.87,0.001
1000,177,FPOP,2678571,7870,7.87,0.001
1000,177,FPOP,2525559,7870,7.87,0.001
1000,177,binsegRcpp,9263171,7870,7.87,0.001
1000,177,FLOPARTNoLabel,6618056,7870,7.87,0.001
1000,177,FLOPARTNoLabel,6082801,7870,7.87,0.001
1000,177,FLOPART,6178249,7870,7.87,0.001
1000,177,FLOPARTNoLabel,6289687,7870,7.87,0.001
1000,177,binsegRcpp,9182852,7870,7.87,0.001
1000,177,FLOPART,6079152,7870,7.87,0.001
1000,177,FLOPART,6462297,7870,7.87,0.001
1000,177,FPOP,2533390,7870,7.87,0.001
10,498,binsegRcpp,9348041,22100,2210,0.1
10,498,FLOPART,10010232,22100,2210,0.1
10,498,FLOPART,9405277,22100,2210,0.1
10,498,FLOPARTNoLabel,12070769,22100,2210,0.1
10,498,FPOP,6312401,22100,2210,0.1
10,498,binsegRcpp,9539388,22100,2210,0.1
10,498,binsegRcpp,9316225,22100,2210,0.1
10,498,FLOPART,9630203,22100,2210,0.1
10,498,FLOPARTNoLabel,12736568,22100,2210,0.1
10,498,FLOPARTNoLabel,68061558,22100,2210,0.1
10,498,FPOP,6275214,22100,2210,0.1
10,498,FPOP,6228556,22100,2210,0.1
1000,498,FPOP,6355123,22100,22.1,0.001
1000,498,FLOPART,12303854,22100,22.1,0.001
1000,498,binsegRcpp,9148576,22100,22.1,0.001
1000,498,binsegRcpp,9497240,22100,22.1,0.001
1000,498,FLOPARTNoLabel,12101847,22100,22.1,0.001
1000,498,FLOPARTNoLabel,12311275,22100,22.1,0.001
1000,498,FLOPART,11801399,22100,22.1,0.001
1000,498,FPOP,6305677,22100,22.1,0.001
1000,498,FLOPARTNoLabel,12182166,22100,22.1,0.001
1000,498,FLOPART,12707171,22100,22.1,0.001
1000,498,FPOP,6349383,22100,22.1,0.001
1000,498,binsegRcpp,9325368,22100,22.1,0.001
10,1400,FPOP,19178488,62990,6299,0.1
10,1400,FLOPARTNoLabel,30704490,62990,6299,0.1
10,1400,FLOPARTNoLabel,29850706,62990,6299,0.1
10,1400,FPOP,17590722,62990,6299,0.1
10,1400,binsegRcpp,9361981,62990,6299,0.1
10,1400,FLOPART,27222278,62990,6299,0.1
10,1400,binsegRcpp,9342342,62990,6299,0.1
10,1400,binsegRcpp,9272314,62990,6299,0.1
10,1400,FLOPARTNoLabel,29392941,62990,6299,0.1
10,1400,FLOPART,22196047,62990,6299,0.1
10,1400,FPOP,17110981,62990,6299,0.1
10,1400,FLOPART,25570716,62990,6299,0.1
1000,1400,FPOP,17012376,62990,62.99,0.001
1000,1400,binsegRcpp,9886330,62990,62.99,0.001
1000,1400,binsegRcpp,9168051,62990,62.99,0.001
1000,1400,FLOPART,29482157,62990,62.99,0.001
1000,1400,FLOPARTNoLabel,29364569,62990,62.99,0.001
1000,1400,FLOPARTNoLabel,34184898,62990,62.99,0.001
1000,1400,FLOPART,29201635,62990,62.99,0.001
1000,1400,FPOP,17594535,62990,62.99,0.001
1000,1400,binsegRcpp,9642503,62990,62.99,0.001
1000,1400,FLOPARTNoLabel,30033935,62990,62.99,0.001
1000,1400,FPOP,17269036,62990,62.99,0.001
1000,1400,FLOPART,33146942,62990,62.99,0.001
10,3941,binsegRcpp,9391296,177580,17758,0.1
10,3941,binsegRcpp,9259194,177580,17758,0.1
10,3941,FLOPARTNoLabel,81394635,177580,17758,0.1
10,3941,FLOPART,61652725,177580,17758,0.1
10,3941,FPOP,48024612,177580,17758,0.1
10,3941,binsegRcpp,9559642,177580,17758,0.1
10,3941,FPOP,51559673,177580,17758,0.1
10,3941,FLOPART,59930807,177580,17758,0.1
10,3941,FLOPART,60203170,177580,17758,0.1
10,3941,FLOPARTNoLabel,80694847,177580,17758,0.1
10,3941,FLOPARTNoLabel,79708715,177580,17758,0.1
10,3941,FPOP,49545425,177580,17758,0.1
1000,3941,FLOPARTNoLabel,80593495,177580,177.58,0.001
1000,3941,FLOPART,80496489,177580,177.58,0.001
1000,3941,binsegRcpp,9221556,177580,177.58,0.001
1000,3941,FLOPART,79965211,177580,177.58,0.001
1000,3941,FPOP,47902268,177580,177.58,0.001
1000,3941,FLOPARTNoLabel,80430356,177580,177.58,0.001
1000,3941,FLOPARTNoLabel,80411250,177580,177.58,0.001
1000,3941,FPOP,47848927,177580,177.58,0.001
1000,3941,binsegRcpp,9380472,177580,177.58,0.001
1000,3941,FLOPART,80104201,177580,177.58,0.001
1000,3941,FPOP,47784147,177580,177.58,0.001
1000,3941,binsegRcpp,9236972,177580,177.58,0.001
10,11093,FLOPART,175920094,500010,50001,0.1
10,11093,FLOPART,183752242,500010,50001,0.1
10,11093,FPOP,144129104,500010,50001,0.1
10,11093,FPOP,146430311,500010,50001,0.1
10,11093,binsegRcpp,9406384,500010,50001,0.1
10,11093,FLOPART,177139516,500010,50001,0.1
10,11093,FPOP,138686231,500010,50001,0.1
10,11093,binsegRcpp,9453534,500010,50001,0.1
10,11093,FLOPARTNoLabel,231477308,500010,50001,0.1
10,11093,FLOPARTNoLabel,234634390,500010,50001,0.1
10,11093,binsegRcpp,9466121,500010,50001,0.1
10,11093,FLOPARTNoLabel,233271386,500010,50001,0.1
1000,11093,binsegRcpp,9267640,500010,500.01,0.001
1000,11093,FLOPART,227791449,500010,500.01,0.001
1000,11093,FLOPART,227659880,500010,500.01,0.001
1000,11093,FLOPARTNoLabel,235203429,500010,500.01,0.001
1000,11093,binsegRcpp,9417044,500010,500.01,0.001
1000,11093,FLOPARTNoLabel,232828914,500010,500.01,0.001
1000,11093,FLOPART,229996265,500010,500.01,0.001
1000,11093,FPOP,142792422,500010,500.01,0.001
1000,11093,FPOP,141436511,500010,500.01,0.001
1000,11093,FLOPARTNoLabel,291908643,500010,500.01,0.001
1000,11093,binsegRcpp,9743937,500010,500.01,0.001
1000,11093,FPOP,142093126,500010,500.01,0.001
